SiteID,country,city,location,latitude,longitude,population,institution,website
site35,Czech,Karlovy Vary,?OV Karloy Vary,50.23204,12.87099,67544,T. G. Masaryk Water Research Institute,https://www.vuv.cz
site36,Czech,Ostrava,Ú?OV Ostrava,49.833864,18.281034,250000,T. G. Masaryk Water Research Institute,https://www.vuv.cz
site37,Czech,Prague,UCOV Praha,50.08,14.43,1212000,T. G. Masaryk Water Research Institute,https://www.vuv.cz
site38,Germany,Berlin (4),Berlin 4 plants,52.52,13.4,3993500,Technische Universitat Dresden,https://www.tu-dresden.de
site39,Germany,Chemnitz,Chemnitz,50.827845,12.92137,239402,Technische Universitat Dresden,https://www.tu-dresden.de
site40,Germany,Dortmund,Deusen,51.52,7.46,399700,Technische Universitat Dresden,https://www.tu-dresden.de
site41,Germany,Dresden,Dresden-Kaditz,51.05089,13.73832,671806,Technische Universitat Dresden,https://www.tu-dresden.de
site42,Germany,Dülmen,Dülmen,51.84,7.28,34733,Technische Universitat Dresden,https://www.tu-dresden.de
site43,Germany,Erfurt,Erfurt,50.984768,11.02988,215750,Technische Universitat Dresden,https://www.tu-dresden.de
site44,Germany,Frankfurt (3),Frankfurt 3 plants,50.110922,8.682127,1118389,Technische Universitat Dresden,https://www.tu-dresden.de
site45,Germany,Hamburg (2),Hamburg 2 plants,53.551085,9.993682,2050000,Technische Universitat Dresden,https://www.tu-dresden.de
site46,Germany,Hannover (2),Hannover 2 plants,52.375892,9.73201,740000,Technische Universitat Dresden,https://www.tu-dresden.de
site47,Germany,Magdeburg,,52.120533,11.627624,278236,Technische Universitat Dresden,https://www.tu-dresden.de
site48,Germany,Mainz,Mainz,49.992862,8.247253,200344,Technische Universitat Dresden,https://www.tu-dresden.de
site49,Germany,Munich Gut_Grosslappen,Gut_Grosslappen,48.14,11.58,1156000,Technische Universitat Dresden,https://www.tu-dresden.de
site50,Germany,Nuremberg,Nürnberg,49.452102,11.076665,445593,Technische Universitat Dresden,https://www.tu-dresden.de
site51,Germany,Rostock,Rostock,54.092441,12.099147,237316,Technische Universitat Dresden,https://www.tu-dresden.de
site52,Germany,Saarbrucken (2),Saarbrucken 2 plants,49.240157,6.996933,203643,Technische Universitat Dresden,https://www.tu-dresden.de
site53,Germany,Stuttgart,Stuttgart,48.775846,9.182932,602000,Technische Universitat Dresden,https://www.tu-dresden.de
site54,Denmark,Copenhagen,Lynetten,55.69,12.62,685000,"Section of Forensic Chemistry, University of Copenhagen",https://retsmedicin.ku.dk/english/aboutnew/forensic_chemistry/
site55,Spain,Barcelona,Baix Llobregat,41.43,1.97,1169300,"Research Institute for Pesticides and Water, University Jaume I",https://www.uji.es/institucional/estructura/instituts/iupa/?urlRedirect=http://www.uji.es/institucional/estructura/instituts/iupa/&url=/institucional/estructura/instituts/iupa/
site56,Spain,Castellon,EDAR Castellón,40.23,-0.12,177088,"Research Institute for Pesticides and Water, University Jaume I",https://www.uji.es/institucional/estructura/instituts/iupa/?urlRedirect=http://www.uji.es/institucional/estructura/instituts/iupa/&url=/institucional/estructura/instituts/iupa/
site57,Spain,Madrid VdlV,Viveros de la Villa,40.41669,-3.70035,440800,"Research Institute for Pesticides and Water, University Jaume I",https://www.uji.es/institucional/estructura/instituts/iupa/?urlRedirect=http://www.uji.es/institucional/estructura/instituts/iupa/&url=/institucional/estructura/instituts/iupa/
site58,Spain,Molina de Segura,,38.051681,-1.207326,70709,"Research Institute for Pesticides and Water, University Jaume I",https://www.uji.es/institucional/estructura/instituts/iupa/?urlRedirect=http://www.uji.es/institucional/estructura/instituts/iupa/&url=/institucional/estructura/instituts/iupa/
site59,Spain,Santiago,Silvouta,42.88,-8.54,136500,"Research Institute for Pesticides and Water, University Jaume I",https://www.uji.es/institucional/estructura/instituts/iupa/?urlRedirect=http://www.uji.es/institucional/estructura/instituts/iupa/&url=/institucional/estructura/instituts/iupa/
